Date,Ret_m_Rf_dvdy
26/05/98,-0.015002901
27/05/98,-0.001716126
28/05/98,0.004825915
29/05/98,-0.00627488
01/06/98,7.20E-05
02/06/98,0.001976397
03/06/98,-0.009716522
04/06/98,0.011038759
05/06/98,0.017157698
08/06/98,0.001593774
09/06/98,0.002333464
10/06/98,-0.005570765
11/06/98,-0.01611599
12/06/98,0.00380967
15/06/98,-0.020141044
16/06/98,0.009700826
17/06/98,0.017714105
18/06/98,-0.000743311
19/06/98,-0.005258135
22/06/98,0.002248451
23/06/98,0.014574449
24/06/98,0.011815162
25/06/98,-0.00325747
26/06/98,0.003390469
29/06/98,0.004582679
30/06/98,-0.004167432
01/07/98,0.01282817
02/07/98,-0.001935747
06/07/98,0.009400715
07/07/98,-0.002380425
08/07/98,0.010028189
09/07/98,-0.006797827
10/07/98,0.004897078
13/07/98,0.000667543
14/07/98,0.010506541
15/07/98,-0.002425758
16/07/98,0.007712806
17/07/98,0.002257603
20/07/98,-0.0023063
21/07/98,-0.016272641
22/07/98,-0.00092088
23/07/98,-0.021192891
24/07/98,0.00085008
27/07/98,0.005584618
28/07/98,-0.015026027
29/07/98,-0.004531134
30/07/98,0.015572153
31/07/98,-0.01975663
03/08/98,-0.007449594
04/08/98,-0.036996338
05/08/98,0.008567715
06/08/98,0.007475322
07/08/98,-0.000243839
10/08/98,-0.005887275
11/08/98,-0.013237922
12/08/98,0.014077322
13/08/98,-0.008702421
14/08/98,-0.011455662
17/08/98,0.019414999
18/08/98,0.015968399
19/08/98,-0.002933992
20/08/98,-0.005979134
21/08/98,-0.009614548
24/08/98,0.006282727
25/08/98,0.004240529
26/08/98,-0.008034413
27/08/98,-0.039203723
28/08/98,-0.015008296
31/08/98,-0.070516157
01/09/98,0.037816437
02/09/98,-0.003895453
03/09/98,-0.00841996
04/09/98,-0.008644028
08/09/98,0.049559613
09/09/98,-0.017094549
10/09/98,-0.026276073
11/09/98,0.028941694
14/09/98,0.020181335
15/09/98,0.007614257
16/09/98,0.007402232
17/09/98,-0.025868281
18/09/98,0.001110365
21/09/98,0.003631873
22/09/98,0.005504051
23/09/98,0.034711844
24/09/98,-0.022251417
25/09/98,0.001858611
28/09/98,0.003677732
29/09/98,0.000228349
30/09/98,-0.03107581
01/10/98,-0.030629491
02/10/98,0.01624097
05/10/98,-0.014161626
06/10/98,-0.00408308
07/10/98,-0.01428757
08/10/98,-0.011706148
09/10/98,0.02561331
12/10/98,0.013381418
13/10/98,-0.002980057
14/10/98,0.010669292
15/10/98,0.04082294
16/10/98,0.008429977
19/10/98,0.005576144
20/10/98,0.001389467
21/10/98,0.005555189
22/10/98,0.007909622
23/10/98,-0.007327044
26/10/98,0.001480732
27/10/98,-0.006589592
28/10/98,0.002518928
29/10/98,0.016505756
30/10/98,0.011604503
02/11/98,0.011640918
03/11/98,-0.000743024
04/11/98,0.006964982
05/11/98,0.013419299
06/11/98,0.006235862
09/11/98,-0.009578361
10/11/98,-0.001777015
11/11/98,-0.006541358
12/11/98,-0.002989435
13/11/98,0.007099721
16/11/98,0.008916986
17/11/98,0.002973591
18/11/98,0.00445974
19/11/98,0.007019473
20/11/98,0.009387714
23/11/98,0.02091314
24/11/98,-0.004461899
25/11/98,0.00321538
27/11/98,0.004530672
30/11/98,-0.024423987
01/12/98,0.009895115
02/12/98,-0.003501781
03/12/98,-0.018254761
04/12/98,0.022797314
07/12/98,0.009203834
08/12/98,-0.005402265
09/12/98,0.001717548
10/12/98,-0.015796314
11/12/98,0.001168323
14/12/98,-0.021960084
15/12/98,0.018709461
16/12/98,-0.000832573
17/12/98,0.015339608
18/12/98,0.006732132
21/12/98,0.012322008
22/12/98,0.000539803
23/12/98,0.020467516
24/12/98,-0.00191634
28/12/98,-0.000703195
29/12/98,0.013162391
30/12/98,-0.008054844
31/12/98,-0.002261042
04/01/99,-0.00099439
05/01/99,0.013415901
06/01/99,0.021824178
07/01/99,-0.002128124
08/01/99,0.004137784
11/01/99,-0.008905069
12/01/99,-0.0195449
13/01/99,-0.004205796
14/01/99,-0.018231139
15/01/99,0.025233688
19/01/99,0.006930613
20/01/99,0.003608611
21/01/99,-0.017299718
22/01/99,-0.008179348
25/01/99,0.007074126
26/01/99,0.014670502
27/01/99,-0.007399978
28/01/99,0.017625272
29/01/99,0.011139545
01/02/99,-0.00527717
02/02/99,-0.008761177
03/02/99,0.007880931
04/02/99,-0.018785329
05/02/99,-0.007382092
08/02/99,0.003445005
09/02/99,-0.022539875
10/02/99,0.005999899
11/02/99,0.024539172
12/02/99,-0.019325201
16/02/99,0.009423756
17/02/99,-0.014544276
18/02/99,0.010692039
19/02/99,0.001491991
22/02/99,0.026143718
